Mon Mar 16 10:29:04 2026    output.dat

         1581728327 function calls (1549486512 primitive calls) in 2500.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     43/1    0.003    0.000 2500.095 2500.095 {built-in method builtins.exec}
        1    0.000    0.000 2500.095 2500.095 <string>:1(<module>)
        1    0.000    0.000 2500.095 2500.095 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:1108(main)
        1    0.000    0.000 2500.095 2500.095 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/evaluate.py:56(eval_scenario)
        1    0.001    0.001 2497.649 2497.649 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/scenario_handler.py:219(_simulate)
       61    0.000    0.000 2497.632   40.945 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/scenario_handler.py:310(_do_simulation_step)
       61    0.005    0.000 2497.632   40.945 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/agent_sim/agent.py:112(step)
       61    0.010    0.000 2496.414   40.925 /home/yanjun/NewDisk/beliefplanning/planner/planning.py:115(_step_agent)
       61    0.307    0.005 2492.500   40.861 /home/yanjun/NewDisk/beliefplanning/planner/planning.py:438(step)
       61    2.822    0.046 2492.193   40.856 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:418(_step_planner)
    93529   68.107    0.001 2435.418    0.026 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/frenet_functions.py:989(sort_frenet_trajectories)
  2810140  106.323    0.000 1325.155    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:18(calc_risk)
  2342431  249.878    0.000  628.479    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:36(calc_trajectory_costs)
  2810140  218.662    0.000  565.182    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/collision_probability.py:144(get_collision_probability_fast)
  2810140  231.810    0.000  460.886    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/harm_estimation.py:209(get_harm)
  2810140  130.245    0.000  389.851    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:56(check_validity)
23724366/14358027   58.336    0.000  297.111    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  8504120   25.233    0.000  255.804    0.000 <__array_function__ internals>:2(stack)
 57263755  133.664    0.000  184.925    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:111(__exit__)
  8504120   82.053    0.000  174.836    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:358(stack)
 11387960  156.337    0.000  158.108    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/utils/logistic_regression_symmetrical.py:61(get_protected_inj_prob_log_reg_reduced_sym)
 57263755  129.757    0.000  152.137    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:107(__enter__)
50121794/27345874   95.864    0.000  147.772    0.000 {built-in method builtins.max}
 57263755  131.054    0.000  140.620    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:66(time_with_cm)
  2342431   31.952    0.000   69.841    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:480(get_cost_factor)
 59606248   40.620    0.000   53.164    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:53(stop_timer)
  2342431    4.464    0.000   52.303    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:866(calc_avg_dist_to_global_path)
