Tue Mar 10 12:36:41 2026    output.dat

         157658103 function calls (154630310 primitive calls) in 1796.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000 1796.360 1796.360 {built-in method builtins.exec}
        1    0.000    0.000 1796.360 1796.360 <string>:1(<module>)
        1    6.715    6.715 1796.360 1796.360 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:1029(main)
        1   16.175   16.175 1789.645 1789.645 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/evaluate.py:56(eval_scenario)
        1 1594.179 1594.179 1771.465 1771.465 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/scenario_handler.py:219(_simulate)
       61    0.000    0.000  177.274    2.906 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/scenario_handler.py:310(_do_simulation_step)
       61    0.002    0.000  177.274    2.906 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/agent_sim/agent.py:112(step)
       61    0.002    0.000  177.046    2.902 /home/yanjun/NewDisk/beliefplanning/planner/planning.py:115(_step_agent)
       61    0.104    0.002  177.043    2.902 /home/yanjun/NewDisk/beliefplanning/planner/planning.py:435(step)
       61    0.276    0.005  176.939    2.901 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:413(_step_planner)
    13651    4.279    0.000  160.831    0.012 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/frenet_functions.py:989(sort_frenet_trajectories)
   413800    5.924    0.000  101.180    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:18(calc_risk)
   413800   29.844    0.000   56.916    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/collision_probability.py:136(get_collision_probability_fast)
   413800    5.503    0.000   30.202    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:56(check_validity)
   413800   12.100    0.000   24.059    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/harm_estimation.py:201(get_harm)
   245557    7.972    0.000   23.754    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:33(calc_trajectory_costs)
3123177/1979389    3.550    0.000   19.862    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   876400    0.850    0.000   11.509    0.000 <__array_function__ internals>:2(stack)
3764313/1913913    7.653    0.000   11.163    0.000 {built-in method builtins.max}
     1571    2.530    0.002   10.358    0.007 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/frenet_functions.py:379(calc_frenet_trajectories)
  6683057    4.588    0.000   10.139    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:111(__exit__)
   925200    8.828    0.000    8.976    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/utils/logistic_regression_symmetrical.py:61(get_protected_inj_prob_log_reg_reduced_sym)
   268222    0.851    0.000    8.527    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:255(create_collision_object)
   876400    3.529    0.000    8.523    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:358(stack)
  6683057    4.103    0.000    6.535    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:107(__enter__)
  6928676    4.282    0.000    5.728    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:53(stop_timer)
   268222    5.682    0.000    5.682    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/helper_functions.py:201(create_tvobstacle)
   892118    5.233    0.000    5.373    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/collision_probability.py:344(get_center_points_for_shape_estimation)
  6683057    4.271    0.000    5.328    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:66(time_with_cm)
       61    0.003    0.000    5.087    0.083 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:339(sim_overtake)
6375476/6348026    4.326    0.000    4.835    0.000 {built-in method numpy.array}
   491114    0.409    0.000    4.331    0.000 <__array_function__ internals>:2(mean)
   491114    0.661    0.000    3.502    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3269(mean)
      122    0.025    0.000    3.471    0.028 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:586(calc_xp_expr)
       61    0.001    0.000    3.327    0.055 /home/yanjun/NewDisk/beliefplanning/Highway_env_branch.py:451(sim_overtake)
       61    0.002    0.000    3.324    0.054 /home/yanjun/NewDisk/beliefplanning/Highway_env_branch.py:374(Highway_sim)
       61    0.006    0.000    3.321    0.054 /home/yanjun/NewDisk/beliefplanning/Highway_env_branch.py:174(step)
   413800    0.957    0.000    3.259    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:295(velocity_valid)
892648/892398    1.952    0.000    3.148    0.000 {built-in method builtins.all}
   306990    2.984    0.000    3.119    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:338(curvature_valid)
    48960    0.021    0.000    3.055    0.000 <__array_function__ internals>:2(gradient)
   412006    2.877    0.000    2.877    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:318(acceleration_valid)
   491114    1.438    0.000    2.841    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/_methods.py:143(_mean)
  1784236    2.721    0.000    2.721    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/collision_probability.py:220(<genexpr>)
   245557    0.258    0.000    2.552    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:439(velocity_costs)
  6928676    2.082    0.000    2.520    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:40(start_timer)
    48960    1.285    0.000    2.464    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/lib/function_base.py:802(gradient)
   245557    0.905    0.000    2.404    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:348(get_cost_factor)
